
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
3.6306122e+02 -1.6000000e+01 -8.1880470e+01 i
3.7936735e+02 -1.6000000e+01 -8.6869413e+01 i
3.9567347e+02 -1.6000000e+01 -9.1858355e+01 i
4.1197959e+02 -1.6000000e+01 -9.6847298e+01 i
4.2828571e+02 -1.6000000e+01 -1.0183624e+02 i
4.4459184e+02 -1.6000000e+01 -1.0682518e+02 i
4.6089796e+02 -1.6000000e+01 -1.1181413e+02 i
4.7720408e+02 -1.6000000e+01 -1.1680307e+02 i
4.9351020e+02 -1.6000000e+01 -1.2179201e+02 i
5.0981633e+02 -1.6000000e+01 -1.2678096e+02 i
5.2612245e+02 -1.6000000e+01 -1.3176990e+02 i
5.4242857e+02 -1.6000000e+01 -1.3675884e+02 i
5.5873469e+02 -1.6000000e+01 -1.4174779e+02 i
5.7504082e+02 -1.6000000e+01 -1.4673673e+02 i
5.9134694e+02 -1.6000000e+01 -1.5172567e+02 i
6.0765306e+02 -1.6000000e+01 -1.5671461e+02 i
6.2395918e+02 -1.6000000e+01 -1.6170356e+02 i
6.4026531e+02 -1.6000000e+01 -1.6669250e+02 i
6.5657143e+02 -1.6000000e+01 -1.7168144e+02 i
6.7287755e+02 -1.6000000e+01 -1.7667039e+02 i
6.8918367e+02 -1.6000000e+01 -1.8165933e+02 i
7.0548980e+02 -1.6000000e+01 -1.8664827e+02 i
7.2179592e+02 -1.6000000e+01 -1.9163721e+02 i
7.3810204e+02 -1.6000000e+01 -1.9662616e+02 i
7.5440816e+02 -1.6000000e+01 -2.0161510e+02 i
7.7071429e+02 -1.6000000e+01 -2.0660404e+02 i
7.8702041e+02 -1.6000000e+01 -2.1159299e+02 i
8.0332653e+02 -1.6000000e+01 -2.1658193e+02 i
8.1963265e+02 -1.6000000e+01 -2.2157087e+02 i
8.3593878e+02 -1.6000000e+01 -2.2655982e+02 i
8.5224490e+02 -1.6000000e+01 -2.3154876e+02 i
8.6855102e+02 -1.6000000e+01 -2.3653770e+02 i
8.8485714e+02 -1.6000000e+01 -2.4152664e+02 i
9.0116327e+02 -1.6000000e+01 -2.4651559e+02 i
9.1746939e+02 -1.6000000e+01 -2.5150453e+02 i
9.3377551e+02 -1.6000000e+01 -2.5649347e+02 i
9.5008163e+02 -1.6000000e+01 -2.6148242e+02 i
9.6638776e+02 -1.6000000e+01 -2.6647136e+02 i
9.8269388e+02 -1.6000000e+01 -2.7146030e+02 i
9.9900000e+02 -1.6000000e+01 -2.7644924e+02 i

# IsoCurve 6, 50 points
# x y z type
2.0000000e+02 -1.5200000e+01 -2.8891488e+01 i
2.1630612e+02 -1.5200000e+01 -3.3630984e+01 i
2.3261224e+02 -1.5200000e+01 -3.8370480e+01 i
2.4891837e+02 -1.5200000e+01 -4.3109975e+01 i
2.6522449e+02 -1.5200000e+01 -4.7849471e+01 i
2.8153061e+02 -1.5200000e+01 -5.2588967e+01 i
2.9783673e+02 -1.5200000e+01 -5.7328463e+01 i
3.1414286e+02 -1.5200000e+01 -6.2067959e+01 i
3.3044898e+02 -1.5200000e+01 -6.6807454e+01 i
3.4675510e+02 -1.5200000e+01 -7.1546950e+01 i
3.6306122e+02 -1.5200000e+01 -7.6286446e+01 i
3.7936735e+02 -1.5200000e+01 -8.1025942e+01 i
3.9567347e+02 -1.5200000e+01 -8.5765438e+01 i
4.1197959e+02 -1.5200000e+01 -9.0504933e+01 i
4.2828571e+02 -1.5200000e+01 -9.5244429e+01 i
4.4459184e+02 -1.5200000e+01 -9.9983925e+01 i
4.6089796e+02 -1.5200000e+01 -1.0472342e+02 i
4.7720408e+02 -1.5200000e+01 -1.0946292e+02 i
4.9351020e+02 -1.5200000e+01 -1.1420241e+02 i
5.0981633e+02 -1.5200000e+01 -1.1894191e+02 i
5.2612245e+02 -1.5200000e+01 -1.2368140e+02 i
5.4242857e+02 -1.5200000e+01 -1.2842090e+02 i
5.5873469e+02 -1.5200000e+01 -1.3316040e+02 i
5.7504082e+02 -1.5200000e+01 -1.3789989e+02 i
5.9134694e+02 -1.5200000e+01 -1.4263939e+02 i
6.0765306e+02 -1.5200000e+01 -1.4737888e+02 i
6.2395918e+02 -1.5200000e+01 -1.5211838e+02 i
6.4026531e+02 -1.5200000e+01 -1.5685787e+02 i
6.5657143e+02 -1.5200000e+01 -1.6159737e+02 i
6.7287755e+02 -1.5200000e+01 -1.6633687e+02 i
6.8918367e+02 -1.5200000e+01 -1.7107636e+02 i
7.0548980e+02 -1.5200000e+01 -1.7581586e+02 i
7.2179592e+02 -1.5200000e+01 -1.8055535e+02 i
7.3810204e+02 -1.5200000e+01 -1.8529485e+02 i
7.5440816e+02 -1.5200000e+01 -1.9003435e+02 i
7.7071429e+02 -1.5200000e+01 -1.9477384e+02 i
7.8702041e+02 -1.5200000e+01 -1.9951334e+02 i
8.0332653e+02 -1.5200000e+01 -2.0425283e+02 i
8.1963265e+02 -1.5200000e+01 -2.0899233e+02 i
8.3593878e+02 -1.5200000e+01 -2.1373182e+02 i
8.5224490e+02 -1.5200000e+01 -2.1847132e+02 i
8.6855102e+02 -1.5200000e+01 -2.2321082e+02 i
8.8485714e+02 -1.5200000e+01 -2.2795031e+02 i
9.0116327e+02 -1.5200000e+01 -2.3268981e+02 i
9.1746939e+02 -1.5200000e+01 -2.3742930e+02 i
9.3377551e+02 -1.5200000e+01 -2.4216880e+02 i
9.5008163e+02 -1.5200000e+01 -2.4690830e+02 i
9.6638776e+02 -1.5200000e+01 -2.5164779e+02 i
9.8269388e+02 -1.5200000e+01 -2.5638729e+02 i
9.9900000e+02 -1.5200000e+01 -2.6112678e+02 i

# IsoCurve 7, 50 points
# x y z type
2.0000000e+02 -1.4400000e+01 -2.5791936e+01 i
2.1630612e+02 -1.4400000e+01 -3.0281985e+01 i
2.3261224e+02 -1.4400000e+01 -3.4772033e+01 i
2.4891837e+02 -1.4400000e+01 -3.9262082e+01 i
2.6522449e+02 -1.4400000e+01 -4.3752131e+01 i
2.8153061e+02 -1.4400000e+01 -4.8242179e+01 i
2.9783673e+02 -1.4400000e+01 -5.2732228e+01 i
3.1414286e+02 -1.4400000e+01 -5.7222277e+01 i
3.3044898e+02 -1.4400000e+01 -6.1712325e+01 i
3.4675510e+02 -1.4400000e+01 -6.6202374e+01 i
3.6306122e+02 -1.4400000e+01 -7.0692423e+01 i
3.7936735e+02 -1.4400000e+01 -7.5182471e+01 i
3.9567347e+02 -1.4400000e+01 -7.9672520e+01 i
4.1197959e+02 -1.4400000e+01 -8.4162569e+01 i
4.2828571e+02 -1.4400000e+01 -8.8652617e+01 i
4.4459184e+02 -1.4400000e+01 -9.3142666e+01 i
4.6089796e+02 -1.4400000e+01 -9.7632715e+01 i
4.7720408e+02 -1.4400000e+01 -1.0212276e+02 i
4.9351020e+02 -1.4400000e+01 -1.0661281e+02 i
5.0981633e+02 -1.4400000e+01 -1.1110286e+02 i
5.2612245e+02 -1.4400000e+01 -1.1559291e+02 i
5.4242857e+02 -1.4400000e+01 -1.2008296e+02 i
5.5873469e+02 -1.4400000e+01 -1.2457301e+02 i
5.7504082e+02 -1.4400000e+01 -1.2906306e+02 i
5.9134694e+02 -1.4400000e+01 -1.3355310e+02 i
6.0765306e+02 -1.4400000e+01 -1.3804315e+02 i
6.2395918e+02 -1.4400000e+01 -1.4253320e+02 i
6.4026531e+02 -1.4400000e+01 -1.4702325e+02 i
6.5657143e+02 -1.4400000e+01 -1.5151330e+02 i
6.7287755e+02 -1.4400000e+01 -1.5600335e+02 i
6.8918367e+02 -1.4400000e+01 -1.6049340e+02 i
7.0548980e+02 -1.4400000e+01 -1.6498344e+02 i
7.2179592e+02 -1.4400000e+01 -1.6947349e+02 i
7.3810204e+02 -1.4400000e+01 -1.7396354e+02 i
7.5440816e+02 -1.4400000e+01 -1.7845359e+02 i
7.7071429e+02 -1.4400000e+01 -1.8294364e+02 i
7.8702041e+02 -1.4400000e+01 -1.8743369e+02 i
8.0332653e+02 -1.4400000e+01 -1.9192374e+02 i
8.1963265e+02 -1.4400000e+01 -1.9641379e+02 i
8.3593878e+02 -1.4400000e+01 -2.0090383e+02 i
8.5224490e+02 -1.4400000e+01 -2.0539388e+02 i
8.6855102e+02 -1.4400000e+01 -2.0988393e+02 i
8.8485714e+02 -1.4400000e+01 -2.1437398e+02 i
9.0116327e+02 -1.4400000e+01 -2.1886403e+02 i
9.1746939e+02 -1.4400000e+01 -2.2335408e+02 i
9.3377551e+02 -1.4400000e+01 -2.2784413e+02 i
