
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
5.9134694e+02 -8.0000000e+00 -6.0862835e+01 i
6.0765306e+02 -8.0000000e+00 -6.3357307e+01 i
6.2395918e+02 -8.0000000e+00 -6.5851778e+01 i
6.4026531e+02 -8.0000000e+00 -6.8346250e+01 i
6.5657143e+02 -8.0000000e+00 -7.0840721e+01 i
6.7287755e+02 -8.0000000e+00 -7.3335193e+01 i
6.8918367e+02 -8.0000000e+00 -7.5829664e+01 i
7.0548980e+02 -8.0000000e+00 -7.8324136e+01 i
7.2179592e+02 -8.0000000e+00 -8.0818607e+01 i
7.3810204e+02 -8.0000000e+00 -8.3313079e+01 i
7.5440816e+02 -8.0000000e+00 -8.5807550e+01 i
7.7071429e+02 -8.0000000e+00 -8.8302022e+01 i
7.8702041e+02 -8.0000000e+00 -9.0796493e+01 i
8.0332653e+02 -8.0000000e+00 -9.3290965e+01 i
8.1963265e+02 -8.0000000e+00 -9.5785436e+01 i
8.3593878e+02 -8.0000000e+00 -9.8279908e+01 i
8.5224490e+02 -8.0000000e+00 -1.0077438e+02 i
8.6855102e+02 -8.0000000e+00 -1.0326885e+02 i
8.8485714e+02 -8.0000000e+00 -1.0576332e+02 i
9.0116327e+02 -8.0000000e+00 -1.0825779e+02 i
9.1746939e+02 -8.0000000e+00 -1.1075227e+02 i
9.3377551e+02 -8.0000000e+00 -1.1324674e+02 i
9.5008163e+02 -8.0000000e+00 -1.1574121e+02 i
9.6638776e+02 -8.0000000e+00 -1.1823568e+02 i
9.8269388e+02 -8.0000000e+00 -1.2073015e+02 i
9.9900000e+02 -8.0000000e+00 -1.2322462e+02 i

# IsoCurve 6, 50 points
# x y z type
2.0000000e+02 -7.6000000e+00 5.5425600e-01 i
2.1630612e+02 -7.6000000e+00 -1.8154919e+00 i
2.3261224e+02 -7.6000000e+00 -4.1852398e+00 i
2.4891837e+02 -7.6000000e+00 -6.5549877e+00 i
2.6522449e+02 -7.6000000e+00 -8.9247356e+00 i
2.8153061e+02 -7.6000000e+00 -1.1294484e+01 i
2.9783673e+02 -7.6000000e+00 -1.3664231e+01 i
3.1414286e+02 -7.6000000e+00 -1.6033979e+01 i
3.3044898e+02 -7.6000000e+00 -1.8403727e+01 i
3.4675510e+02 -7.6000000e+00 -2.0773475e+01 i
3.6306122e+02 -7.6000000e+00 -2.3143223e+01 i
3.7936735e+02 -7.6000000e+00 -2.5512971e+01 i
3.9567347e+02 -7.6000000e+00 -2.7882719e+01 i
4.1197959e+02 -7.6000000e+00 -3.0252467e+01 i
4.2828571e+02 -7.6000000e+00 -3.2622215e+01 i
4.4459184e+02 -7.6000000e+00 -3.4991963e+01 i
4.6089796e+02 -7.6000000e+00 -3.7361710e+01 i
4.7720408e+02 -7.6000000e+00 -3.9731458e+01 i
4.9351020e+02 -7.6000000e+00 -4.2101206e+01 i
5.0981633e+02 -7.6000000e+00 -4.4470954e+01 i
5.2612245e+02 -7.6000000e+00 -4.6840702e+01 i
5.4242857e+02 -7.6000000e+00 -4.9210450e+01 i
5.5873469e+02 -7.6000000e+00 -5.1580198e+01 i
5.7504082e+02 -7.6000000e+00 -5.3949946e+01 i
5.9134694e+02 -7.6000000e+00 -5.6319694e+01 i
6.0765306e+02 -7.6000000e+00 -5.8689442e+01 i
6.2395918e+02 -7.6000000e+00 -6.1059189e+01 i
6.4026531e+02 -7.6000000e+00 -6.3428937e+01 i
6.5657143e+02 -7.6000000e+00 -6.5798685e+01 i
6.7287755e+02 -7.6000000e+00 -6.8168433e+01 i
6.8918367e+02 -7.6000000e+00 -7.0538181e+01 i
7.0548980e+02 -7.6000000e+00 -7.2907929e+01 i
7.2179592e+02 -7.6000000e+00 -7.5277677e+01 i
7.3810204e+02 -7.6000000e+00 -7.7647425e+01 i
7.5440816e+02 -7.6000000e+00 -8.0017173e+01 i
7.7071429e+02 -7.6000000e+00 -8.2386921e+01 i
7.8702041e+02 -7.6000000e+00 -8.4756669e+01 i
8.0332653e+02 -7.6000000e+00 -8.7126416e+01 i
8.1963265e+02 -7.6000000e+00 -8.9496164e+01 i
8.3593878e+02 -7.6000000e+00 -9.1865912e+01 i
8.5224490e+02 -7.6000000e+00 -9.4235660e+01 i
8.6855102e+02 -7.6000000e+00 -9.6605408e+01 i
8.8485714e+02 -7.6000000e+00 -9.8975156e+01 i
9.0116327e+02 -7.6000000e+00 -1.0134490e+02 i
9.1746939e+02 -7.6000000e+00 -1.0371465e+02 i
9.3377551e+02 -7.6000000e+00 -1.0608440e+02 i
9.5008163e+02 -7.6000000e+00 -1.0845415e+02 i
9.6638776e+02 -7.6000000e+00 -1.1082390e+02 i
9.8269388e+02 -7.6000000e+00 -1.1319364e+02 i
9.9900000e+02 -7.6000000e+00 -1.1556339e+02 i

# IsoCurve 7, 50 points
# x y z type
2.0000000e+02 -7.2000000e+00 2.1040320e+00 i
2.1630612e+02 -7.2000000e+00 -1.4099233e-01 i
2.3261224e+02 -7.2000000e+00 -2.3860167e+00 i
2.4891837e+02 -7.2000000e+00 -4.6310410e+00 i
2.6522449e+02 -7.2000000e+00 -6.8760653e+00 i
2.8153061e+02 -7.2000000e+00 -9.1210896e+00 i
2.9783673e+02 -7.2000000e+00 -1.1366114e+01 i
3.1414286e+02 -7.2000000e+00 -1.3611138e+01 i
3.3044898e+02 -7.2000000e+00 -1.5856163e+01 i
3.4675510e+02 -7.2000000e+00 -1.8101187e+01 i
3.6306122e+02 -7.2000000e+00 -2.0346211e+01 i
3.7936735e+02 -7.2000000e+00 -2.2591236e+01 i
3.9567347e+02 -7.2000000e+00 -2.4836260e+01 i
4.1197959e+02 -7.2000000e+00 -2.7081284e+01 i
4.2828571e+02 -7.2000000e+00 -2.9326309e+01 i
4.4459184e+02 -7.2000000e+00 -3.1571333e+01 i
4.6089796e+02 -7.2000000e+00 -3.3816357e+01 i
4.7720408e+02 -7.2000000e+00 -3.6061382e+01 i
4.9351020e+02 -7.2000000e+00 -3.8306406e+01 i
5.0981633e+02 -7.2000000e+00 -4.0551430e+01 i
5.2612245e+02 -7.2000000e+00 -4.2796455e+01 i
5.4242857e+02 -7.2000000e+00 -4.5041479e+01 i
5.5873469e+02 -7.2000000e+00 -4.7286503e+01 i
5.7504082e+02 -7.2000000e+00 -4.9531528e+01 i
5.9134694e+02 -7.2000000e+00 -5.1776552e+01 i
6.0765306e+02 -7.2000000e+00 -5.4021576e+01 i
6.2395918e+02 -7.2000000e+00 -5.6266601e+01 i
6.4026531e+02 -7.2000000e+00 -5.8511625e+01 i
6.5657143e+02 -7.2000000e+00 -6.0756649e+01 i
6.7287755e+02 -7.2000000e+00 -6.3001674e+01 i
6.8918367e+02 -7.2000000e+00 -6.5246698e+01 i
7.0548980e+02 -7.2000000e+00 -6.7491722e+01 i
7.2179592e+02 -7.2000000e+00 -6.9736747e+01 i
7.3810204e+02 -7.2000000e+00 -7.1981771e+01 i
7.5440816e+02 -7.2000000e+00 -7.4226795e+01 i
7.7071429e+02 -7.2000000e+00 -7.6471820e+01 i
7.8702041e+02 -7.2000000e+00 -7.8716844e+01 i
8.0332653e+02 -7.2000000e+00 -8.0961868e+01 i
8.1963265e+02 -7.2000000e+00 -8.3206893e+01 i
8.3593878e+02 -7.2000000e+00 -8.5451917e+01 i
8.5224490e+02 -7.2000000e+00 -8.7696941e+01 i
8.6855102e+02 -7.2000000e+00 -8.9941966e+01 i
8.8485714e+02 -7.2000000e+00 -9.2186990e+01 i
9.0116327e+02 -7.2000000e+00 -9.4432014e+01 i
9.1746939e+02 -7.2000000e+00 -9.6677039e+01 i
9.3377551e+02 -7.2000000e+00 -9.8922063e+01 i
9.5008163e+02 -7.2000000e+00 -1.0116709e+02 i
9.6638776e+02 -7.2000000e+00 -1.0341211e+02 i
9.8269388e+02 -7.2000000e+00 -1.0565714e+02 i
9.9900000e+02 -7.2000000e+00 -1.0790216e+02 i

# IsoCurve 8, 50 points
# x y z type
2.0000000e+02 -6.8000000e+00 3.6538080e+00 i
2.1630612e+02 -6.8000000e+00 1.5335072e+00 i
2.3261224e+02 -6.8000000e+00 -5.8679351e-01 i
2.4891837e+02 -6.8000000e+00 -2.7070943e+00 i
2.6522449e+02 -6.8000000e+00 -4.8273950e+00 i
2.8153061e+02 -6.8000000e+00 -6.9476958e+00 i
2.9783673e+02 -6.8000000e+00 -9.0679965e+00 i
3.1414286e+02 -6.8000000e+00 -1.1188297e+01 i
3.3044898e+02 -6.8000000e+00 -1.3308598e+01 i
3.4675510e+02 -6.8000000e+00 -1.5428899e+01 i
3.6306122e+02 -6.8000000e+00 -1.7549200e+01 i
3.7936735e+02 -6.8000000e+00 -1.9669500e+01 i
3.9567347e+02 -6.8000000e+00 -2.1789801e+01 i
4.1197959e+02 -6.8000000e+00 -2.3910102e+01 i
4.2828571e+02 -6.8000000e+00 -2.6030403e+01 i
4.4459184e+02 -6.8000000e+00 -2.8150703e+01 i
4.6089796e+02 -6.8000000e+00 -3.0271004e+01 i
4.7720408e+02 -6.8000000e+00 -3.2391305e+01 i
4.9351020e+02 -6.8000000e+00 -3.4511606e+01 i
5.0981633e+02 -6.8000000e+00 -3.6631906e+01 i
5.2612245e+02 -6.8000000e+00 -3.8752207e+01 i
5.4242857e+02 -6.8000000e+00 -4.0872508e+01 i
5.5873469e+02 -6.8000000e+00 -4.2992809e+01 i
5.7504082e+02 -6.8000000e+00 -4.5113109e+01 i
5.9134694e+02 -6.8000000e+00 -4.7233410e+01 i
6.0765306e+02 -6.8000000e+00 -4.9353711e+01 i
6.2395918e+02 -6.8000000e+00 -5.1474012e+01 i
6.4026531e+02 -6.8000000e+00 -5.3594312e+01 i
6.5657143e+02 -6.8000000e+00 -5.5714613e+01 i
6.7287755e+02 -6.8000000e+00 -5.7834914e+01 i
6.8918367e+02 -6.8000000e+00 -5.9955215e+01 i
7.0548980e+02 -6.8000000e+00 -6.2075515e+01 i
7.2179592e+02 -6.8000000e+00 -6.4195816e+01 i
7.3810204e+02 -6.8000000e+00 -6.6316117e+01 i
7.5440816e+02 -6.8000000e+00 -6.8436418e+01 i
7.7071429e+02 -6.8000000e+00 -7.0556718e+01 i
